date,stock_index,open_price,close_price,daily_high,daily_low,trading_volume,gdp_growth_percent,inflation_rate_percent,unemployment_rate_percent,interest_rate_percent,consumer_confidence_index,government_debt_billion_usd,corporate_profits_billion_usd,forex_usd_eur,forex_usd_jpy,crude_oil_price_usd_per_barrel,gold_price_usd_per_ounce,real_estate_index,retail_sales_billion_usd,bankruptcy_rate_percent,mergers_&_acquisitions_deals,venture_capital_funding_billion_usd,consumer_spending_billion_usd,year
2000-01-01,Dow Jones,2128.75,2138.48,2143.7,2100.55,2670411,-0.37,6.06,6.1,6.06,114,27271,1645,1.04,119.87,47.2,1052.34,390.23,2229,2.12,3,76.64,4589,2000
2000-01-02,S&P 500,2046.82,2036.18,2082.83,2009.53,690220415,3.19,4.95,6.62,2.19,101,16160,1008,1.0,98.22,52.84,1957.73,346.23,4156,1.4,21,5.67,10101,2000
2000-01-03,Dow Jones,1987.92,1985.26,2022.28,1978.37,315284661,5.54,9.13,2.6,0.82,92,29962,4562,0.83,80.13,78.8,2339.49,439.46,340,0.79,48,39.43,13665,2000
2000-01-04,Dow Jones,4625.02,4660.47,4665.26,4595.46,13098297,10.0,3.77,2.2,3.71,112,12745,4183,0.95,149.15,28.18,1308.54,213.07,8456,4.22,16,12.83,5192,2000
2000-01-05,S&P 500,1998.18,1982.18,2044.31,1966.44,385306746,1.53,2.2,8.2,4.56,99,22293,3440,1.43,113.71,92.2,2210.08,405.49,1596,2.21,34,86.37,10688,2000
2000-01-06,S&P 500,2087.8,2124.76,2153.1800000000003,2085.1800000000003,82664194,1.42,6.08,3.24,1.09,88,15880,2525,1.39,140.0,60.23,2338.39,441.06,403,0.82,45,96.8,8613,2000
2000-01-07,Dow Jones,4037.59,3996.4,4055.78,3948.97,653722138,7.64,6.24,4.52,8.24,91,17830,3318,0.92,138.8,29.3,1309.15,319.6,4874,9.55,31,32.63,1303,2000
2000-01-08,NASDAQ,2798.96,2826.64,2864.47,2766.89,423890033,7.08,4.39,13.01,3.77,66,20092,2265,1.06,136.86,117.92,896.46,265.51,1011,7.33,37,98.89,3771,2000
2000-01-09,Dow Jones,4106.84,4141.59,4154.46,4062.99,867172199,5.97,4.87,9.42,9.18,92,27069,1113,1.02,112.13,104.95,2358.55,479.46,5193,5.18,30,75.26,13164,2000
2000-01-10,Dow Jones,1261.46,1229.64,1296.14,1195.84,174582201,1.95,9.6,10.24,1.97,98,3940,3306,0.9,142.71,123.15,1361.82,167.59,6147,7.43,24,0.22,13774,2000
2000-01-11,Dow Jones,2950.28,2943.3100000000004,2952.27,2925.4600000000005,320527008,-0.14,7.33,4.44,1.04,54,2045,1972,1.24,105.71,142.1,823.35,114.51,2861,6.11,9,48.58,7649,2000
2000-01-12,Dow Jones,1134.45,1101.0,1176.42,1075.37,715127821,4.13,1.11,12.77,5.08,50,13344,305,1.19,108.59,96.15,1607.36,171.66,705,1.78,48,83.43,7071,2000
2000-01-13,S&P 500,1250.61,1271.27,1293.68,1216.82,90792126,8.14,2.12,13.28,2.3,116,20391,915,1.1,97.9,122.27,996.99,373.38,1138,6.33,1,53.43,8113,2000
2000-01-14,Dow Jones,4625.75,4629.28,4661.11,4577.74,595281205,8.26,9.76,8.8,9.41,73,529,165,1.4,111.37,45.89,2332.89,415.58,506,6.81,26,55.04,225,2000
2000-01-15,NASDAQ,1556.98,1570.51,1581.57,1544.3,866560662,-3.37,7.26,13.86,0.6,78,10163,4145,1.23,149.06,73.35,1063.49,386.73,1171,2.37,11,44.83,5201,2000
2000-01-16,S&P 500,3129.68,3099.33,3163.53,3055.58,415077918,1.43,9.15,12.98,4.42,64,18293,2151,0.98,120.13,88.91,1317.51,267.95,7930,3.2,15,39.56,10713,2000
2000-01-17,NASDAQ,2644.38,2615.55,2682.99,2569.3500000000004,965696140,1.97,3.04,11.51,9.3,53,28836,102,1.06,138.18,90.36,2143.77,487.03,4309,3.83,15,2.84,13591,2000
2000-01-18,NASDAQ,2389.37,2343.52,2413.03,2310.0,3991992,9.66,7.42,11.54,4.15,93,4179,424,0.91,98.43,113.38,2170.79,277.72,6698,6.03,2,62.21,14990,2000
2000-01-19,NASDAQ,4599.33,4581.54,4630.22,4534.98,215525643,5.17,7.14,3.37,1.38,114,15264,704,1.21,146.91,123.47,2332.18,492.52,4721,1.27,24,76.7,11054,2000
2000-01-20,NASDAQ,1087.29,1093.26,1116.08,1067.4,995760162,1.11,2.95,5.52,3.38,80,25604,4991,1.21,80.92,106.69,1645.57,467.25,6188,7.43,17,79.04,7061,2000
2000-01-21,S&P 500,3655.16,3690.95,3735.65,3607.51,992784081,-4.61,5.51,2.87,5.23,69,22031,2682,1.41,145.12,26.14,2477.43,262.86,4543,3.46,38,62.5,3790,2000
2000-01-22,S&P 500,4853.58,4870.27,4895.16,4818.44,349254868,3.48,6.27,2.11,2.26,59,625,2746,1.4,142.86,65.66,1677.52,164.4,1552,6.92,41,34.19,3259,2000
2000-01-23,NASDAQ,3240.67,3234.21,3282.76,3232.11,781089324,-3.56,4.81,4.06,4.93,60,5408,3222,1.39,84.71,94.42,2144.2,135.93,2553,9.33,39,2.36,6242,2000
2000-01-24,NASDAQ,4747.29,4792.6,4832.67,4701.95,695658158,7.52,8.27,13.45,8.45,77,28932,3214,1.18,122.34,86.02,1415.23,312.59,5599,8.7,31,89.59,3697,2000
2000-01-25,S&P 500,1209.03,1230.95,1251.48,1184.81,19640512,6.29,8.33,5.12,8.79,87,7142,3375,1.26,134.97,25.82,2400.2,405.28,5280,7.38,49,42.96,3414,2000
2000-01-26,S&P 500,2675.17,2718.19,2729.69,2652.15,834168124,1.91,8.51,14.61,0.97,73,20142,446,1.34,108.27,147.48,1964.53,170.42,6773,1.93,48,60.16,2677,2000
2000-01-27,S&P 500,2040.63,2043.39,2063.69,2012.31,97750245,1.44,8.03,9.76,2.03,88,9345,4254,0.86,86.43,144.29,931.07,227.28,3087,7.32,2,19.54,12464,2000
2000-01-28,Dow Jones,3923.28,3899.17,3964.59,3891.7,374017896,8.46,4.88,5.08,3.12,100,29309,2827,1.01,138.06,120.59,984.48,352.21,2889,6.36,7,14.28,4485,2000
2000-01-29,Dow Jones,4925.19,4880.469999999999,4936.57,4857.009999999999,67457001,-0.67,3.81,8.46,6.15,99,25025,2658,0.92,112.65,27.2,2314.38,284.35,300,7.73,4,8.77,11190,2000
2000-01-30,Dow Jones,2026.12,2048.73,2074.95,1984.56,447750702,-1.26,8.31,4.85,3.93,56,14148,3489,1.16,98.43,75.93,2176.25,341.55,7925,8.69,19,79.9,3724,2000
2000-01-31,NASDAQ,3616.7,3578.83,3657.0,3578.06,897542344,9.09,4.9,14.79,8.52,117,9432,3543,1.39,84.96,73.27,1361.16,370.55,6300,3.11,43,64.68,10458,2000
2000-02-01,Dow Jones,1792.39,1772.67,1810.06,1759.02,317635926,7.14,2.46,13.01,7.31,102,19145,2354,0.96,124.81,92.54,1686.71,252.28,9074,6.44,24,62.15,1710,2000
2000-02-02,NASDAQ,3261.32,3264.57,3296.6800000000003,3261.2000000000003,835366797,7.31,5.07,2.34,1.45,86,8453,210,1.31,82.96,27.27,2249.67,414.39,2860,2.75,5,91.95,10210,2000
2000-02-03,NASDAQ,2855.73,2862.17,2874.4500000000003,2834.94,328505418,-2.07,1.42,14.32,6.43,103,25366,122,1.08,135.38,75.08,975.83,381.15,5325,3.46,27,15.96,5396,2000
2000-02-04,Dow Jones,4888.02,4898.080000000001,4903.540000000001,4851.6,83911814,-2.85,6.92,11.37,1.57,104,11683,3916,1.43,133.95,118.52,1034.84,375.02,5021,5.21,22,17.11,8509,2000
2000-02-05,NASDAQ,3434.11,3400.74,3473.83,3360.8,869602526,-4.61,3.36,3.07,2.92,80,28717,2063,1.24,102.61,149.74,2016.4,159.79,3813,4.34,23,19.03,4920,2000
2000-02-06,Dow Jones,2398.03,2386.0,2402.98,2338.74,926087447,-1.44,2.61,10.72,2.19,114,11269,4982,1.48,113.06,97.41,939.75,289.69,5752,6.01,9,42.39,13292,2000
2000-02-07,Dow Jones,1456.38,1468.1,1481.67,1425.95,828085337,6.61,9.57,10.41,2.14,108,11431,1807,0.97,126.85,142.28,1399.36,330.87,9230,7.59,9,87.43,2963,2000
2000-02-08,S&P 500,1604.99,1651.97,1694.73,1592.26,642074973,-1.4,7.77,4.84,6.36,96,18577,3182,1.45,147.14,149.81,1228.07,190.55,3216,6.05,32,88.16,11375,2000
2000-02-09,Dow Jones,1901.27,1924.03,1941.35,1855.06,820512481,5.94,7.87,11.86,5.85,98,6387,3915,1.05,116.41,76.52,2092.49,403.43,3717,9.7,8,59.1,4132,2000
2000-02-10,S&P 500,2003.87,2046.13,2094.78,1965.1,299234285,-1.22,6.24,3.13,2.17,67,21528,846,1.24,149.77,106.93,804.16,148.43,5290,7.38,17,65.85,13524,2000
2000-02-11,Dow Jones,4402.46,4428.68,4477.67,4373.74,322996389,0.93,8.39,8.36,9.91,52,26395,614,0.92,102.76,47.72,996.15,159.94,9055,9.85,2,89.79,3953,2000
2000-02-12,Dow Jones,3244.89,3254.06,3267.47,3210.11,112336516,9.75,7.59,2.13,4.51,67,3321,3139,1.33,116.85,81.83,968.31,265.33,2994,7.43,32,62.46,10659,2000
2000-02-13,S&P 500,3093.56,3062.76,3095.61,3016.54,760179396,-1.33,5.99,14.59,1.42,107,20546,2956,1.48,88.09,30.19,1340.73,154.14,9546,5.08,9,23.06,10365,2000
2000-02-14,S&P 500,1459.08,1475.75,1511.0,1423.46,433513212,0.65,9.61,11.77,1.65,74,15254,2441,1.35,118.95,23.79,1195.22,104.66,4719,4.11,26,70.52,490,2000
2000-02-15,Dow Jones,4440.56,4452.900000000001,4475.450000000001,4422.14,396413202,-0.48,1.92,4.07,6.05,67,16525,424,1.23,117.54,136.08,1188.08,264.56,7390,7.36,34,77.01,12442,2000
2000-02-16,NASDAQ,3891.26,3901.51,3906.55,3855.61,931967282,-3.36,9.43,6.44,9.8,101,16718,3462,1.11,139.42,131.59,1429.67,359.42,5288,6.87,17,63.57,14238,2000
2000-02-17,S&P 500,1270.67,1269.65,1306.0500000000002,1267.64,173299941,2.35,4.01,4.09,5.93,92,11921,3590,1.04,149.76,60.57,1163.88,298.06,5066,6.69,6,27.43,14002,2000
2000-02-18,NASDAQ,3831.34,3834.21,3835.77,3812.02,368280027,0.68,5.28,11.97,9.52,116,22078,2607,1.09,149.03,79.4,980.56,120.87,9561,7.22,6,40.05,13851,2000
2000-02-19,NASDAQ,3174.15,3157.59,3217.6600000000003,3137.27,422317180,5.42,1.23,2.77,4.72,56,1895,3278,1.03,96.54,84.17,1791.53,192.99,7640,8.72,21,47.11,14247,2000
2000-02-20,NASDAQ,1326.9,1328.8300000000002,1335.7600000000002,1318.5600000000002,58651049,7.26,5.4,12.93,4.64,93,19851,3424,1.38,103.69,87.69,2417.95,309.74,4293,2.28,9,14.62,4097,2000
2000-02-21,S&P 500,2833.2,2802.96,2839.57,2801.81,676997974,3.16,6.11,14.25,5.25,93,4461,1662,1.43,99.23,37.49,1832.18,395.24,5541,5.65,26,45.28,4346,2000
2000-02-22,NASDAQ,2938.79,2969.31,2978.09,2932.12,705322989,-4.52,9.98,10.8,7.13,100,3114,1644,1.46,93.98,120.76,2086.94,417.57,9004,6.03,44,16.2,14393,2000
2000-02-23,S&P 500,1663.1,1631.6799999999998,1711.11,1598.9499999999998,68204720,4.28,9.75,4.77,3.99,70,15553,3329,1.09,90.51,65.22,2452.7,307.75,8965,2.93,3,50.0,8754,2000
2000-02-24,NASDAQ,4782.79,4741.29,4817.45,4701.18,917879901,-4.17,9.66,6.68,8.71,86,23754,625,1.18,115.82,24.12,1060.38,358.45,4704,9.88,11,5.18,5108,2000
2000-02-25,Dow Jones,4399.9,4393.52,4439.969999999999,4344.11,277488002,4.25,3.48,8.2,0.78,77,18428,4733,1.2,141.07,107.95,1581.68,461.37,9233,7.86,2,94.86,6117,2000
2000-02-26,Dow Jones,3676.09,3691.92,3711.8,3658.77,454777371,5.28,9.91,9.86,4.68,81,5725,1849,1.26,121.29,127.88,1789.14,126.08,1042,3.21,47,24.71,9643,2000
2000-02-27,S&P 500,2849.18,2842.95,2866.0,2812.98,429041376,-2.03,4.55,10.69,5.35,106,12593,4822,0.8,141.09,139.36,1347.59,139.67,4571,3.58,42,46.75,13609,2000
2000-02-28,Dow Jones,2647.06,2624.74,2658.78,2577.88,726822338,7.29,8.52,9.2,6.27,90,15202,940,1.39,147.16,107.67,1842.32,283.14,3843,7.18,2,3.37,9226,2000
2000-02-29,Dow Jones,3603.89,3609.71,3633.74,3595.54,279297464,8.67,2.16,6.57,3.12,103,13189,2365,0.99,106.82,44.87,1860.49,343.89,6383,0.11,24,19.35,13915,2000
2000-03-01,NASDAQ,3181.73,3166.43,3209.32,3130.55,333936018,7.2,5.06,13.58,4.56,76,26856,4788,1.13,138.5,96.67,2231.79,101.85,3936,4.64,25,69.36,9535,2000
2000-03-02,S&P 500,1249.09,1292.38,1323.9699999999998,1211.34,594469609,-0.42,9.66,3.06,5.1,89,8486,812,1.39,83.66,138.53,2215.28,281.02,2528,3.43,39,11.27,3475,2000
2000-03-03,NASDAQ,3050.01,3092.2700000000004,3105.130000000001,3045.5600000000004,820368765,3.8,9.47,8.06,7.03,90,27226,166,1.5,113.68,65.57,1042.29,169.1,9481,8.54,6,62.85,610,2000
2000-03-04,NASDAQ,4225.61,4225.849999999999,4273.28,4182.549999999999,305825400,8.72,6.84,12.08,7.85,119,21766,860,1.36,105.78,143.94,1087.12,358.04,3724,7.91,45,0.31,4968,2000
2000-03-05,NASDAQ,2836.96,2819.75,2845.45,2779.09,320415535,-0.19,7.98,2.79,7.51,73,15160,564,0.82,94.34,32.7,1178.03,207.09,9544,3.32,33,46.55,11896,2000
2000-03-06,NASDAQ,1207.83,1231.54,1279.82,1206.16,728339776,7.3,1.76,11.17,3.75,67,13160,4291,1.06,110.69,114.65,1244.09,460.78,7491,8.65,9,72.16,12053,2000
2000-03-07,NASDAQ,4145.11,4098.78,4145.849999999999,4094.23,79877029,-4.86,7.22,12.66,9.99,105,21317,4603,0.97,111.06,35.59,1759.64,125.54,8027,9.14,2,92.64,12791,2000
2000-03-08,NASDAQ,1805.46,1802.94,1829.52,1800.48,404458248,-4.95,6.18,10.59,8.56,64,7534,3289,1.47,136.6,123.85,1356.73,423.68,2009,5.52,27,49.33,14798,2000
2000-03-09,NASDAQ,2034.48,2018.11,2051.15,2001.37,167771131,6.4,0.92,2.17,2.97,84,26132,4999,0.98,140.82,32.7,2420.04,256.93,2774,1.59,10,84.07,4165,2000
2000-03-10,S&P 500,1658.83,1700.88,1723.34,1633.37,487813508,6.42,1.13,4.34,2.35,76,10137,1567,1.46,125.99,62.34,1001.11,442.86,3424,7.7,31,80.28,3242,2000
2000-03-11,Dow Jones,2320.86,2272.06,2349.3900000000003,2245.44,683933050,6.83,1.08,6.45,3.48,52,14080,4952,1.46,124.34,120.99,1219.02,426.05,5933,3.19,7,29.65,3009,2000
2000-03-12,NASDAQ,4027.01,4032.29,4054.0700000000006,4013.63,684607341,8.95,7.24,5.04,4.8,70,10660,2860,1.39,87.71,79.83,2276.14,195.72,2702,5.27,19,87.49,5313,2000
2000-03-13,NASDAQ,3077.54,3101.61,3122.35,3031.96,103968425,-3.23,1.42,14.51,8.58,88,17980,4556,0.87,120.27,134.75,1793.36,120.23,5897,0.46,4,64.06,2866,2000
2000-03-14,NASDAQ,1819.53,1818.03,1856.17,1799.62,65802593,-1.52,4.68,10.47,7.89,81,26957,1493,0.8,99.21,72.23,1730.63,378.21,254,5.0,40,10.51,12862,2000
2000-03-15,NASDAQ,4511.32,4469.86,4545.61,4467.58,580283044,8.56,3.57,5.86,8.59,99,1704,3793,1.36,100.63,149.34,1810.39,181.76,2774,3.8,12,93.92,1708,2000
2000-03-16,NASDAQ,4518.33,4565.58,4607.24,4503.32,856716960,-2.34,5.51,14.09,3.08,58,10612,4407,1.39,86.63,22.43,1228.85,472.2,4603,6.86,10,17.75,1790,2000
2000-03-17,NASDAQ,4482.31,4484.110000000001,4496.610000000001,4455.75,112593112,5.23,7.06,11.63,6.14,99,24831,1799,1.47,124.51,110.49,2094.46,126.89,1627,0.41,33,47.09,9061,2000
2000-03-18,Dow Jones,1955.18,1966.6,1997.08,1934.77,783125993,2.96,6.85,5.7,3.19,50,24203,1220,0.95,120.87,139.07,1644.1,229.59,725,6.25,43,46.69,327,2000
2000-03-19,Dow Jones,2804.96,2778.62,2834.2200000000003,2764.93,657295964,-3.75,5.16,6.93,1.54,53,4083,1671,1.31,95.42,89.68,872.41,105.06,785,7.72,2,62.56,10686,2000
2000-03-20,NASDAQ,4939.96,4938.31,4958.45,4931.740000000001,223914041,-0.72,4.64,4.59,7.0,53,16756,4973,1.16,98.41,148.51,1101.17,226.81,9757,0.13,14,66.53,7442,2000
2000-03-21,Dow Jones,4088.05,4080.96,4112.35,4040.0,545832152,2.81,3.98,14.62,1.86,83,11831,828,1.03,134.11,112.04,2188.26,316.5,5309,7.5,32,23.37,907,2000
2000-03-22,S&P 500,1108.67,1066.16,1124.36,1016.35,358434805,7.79,8.62,8.72,6.84,76,29050,3604,1.22,135.51,75.84,1386.58,361.95,969,1.3,42,35.31,6460,2000
2000-03-23,NASDAQ,1260.82,1221.4399999999998,1267.91,1204.9599999999998,317188026,5.61,3.31,13.65,6.66,64,8039,715,1.18,114.52,87.0,2114.86,390.57,3177,6.98,9,14.54,647,2000
2000-03-24,S&P 500,2855.73,2889.48,2900.17,2836.65,225886856,4.33,2.59,6.5,8.2,81,12111,470,1.0,90.43,134.07,1927.74,433.38,1004,4.55,2,12.69,12363,2000
2000-03-25,S&P 500,4636.88,4610.86,4642.16,4579.96,815739709,2.44,7.43,13.19,1.83,90,24024,3564,0.99,83.89,144.49,1312.48,144.31,2122,5.52,45,82.52,5616,2000
2000-03-26,NASDAQ,3154.81,3124.31,3188.96,3088.39,430682626,-0.52,3.6,2.7,7.94,110,2538,4827,1.14,99.0,92.27,1015.96,404.75,1342,3.37,47,75.1,10184,2000
2000-03-27,Dow Jones,2991.25,2991.74,3024.78,2971.65,378329550,-3.21,8.47,14.77,9.99,112,25063,4956,1.13,131.18,59.93,2171.81,211.35,2811,2.45,40,44.32,823,2000
2000-03-28,S&P 500,1421.89,1448.76,1496.29,1376.64,791254083,1.14,3.28,13.86,8.58,110,26808,1047,1.01,122.06,51.11,1893.25,155.3,1394,0.71,13,9.68,11353,2000
2000-03-29,NASDAQ,3627.12,3583.31,3663.6,3555.31,335449388,-4.57,7.02,6.72,7.64,63,22810,1219,0.98,130.27,82.02,1311.36,206.26,6037,8.65,32,45.05,10613,2000
2000-03-30,S&P 500,4288.41,4296.09,4298.6900000000005,4265.889999999999,475226213,-1.83,0.45,12.07,6.79,72,8723,1555,1.47,113.02,58.52,1689.57,443.2,9155,6.1,32,29.52,214,2000
2000-03-31,S&P 500,2521.68,2483.6,2565.89,2451.27,824342099,1.49,3.86,11.78,4.51,114,10660,2648,1.4,132.83,74.71,1840.24,350.96,1656,9.83,35,77.81,10542,2000
2000-04-01,S&P 500,4102.45,4056.1,4145.58,4008.46,578975920,1.28,3.43,13.72,7.44,81,19858,2522,1.37,113.66,128.48,803.6,338.95,2402,8.5,22,9.75,6761,2000
2000-04-02,S&P 500,4857.91,4813.18,4880.08,4773.450000000001,693648470,-4.34,8.17,5.99,7.38,90,12022,3711,0.95,85.88,81.36,1939.87,333.85,836,8.7,0,45.19,4135,2000
2000-04-03,Dow Jones,1815.07,1848.49,1877.78,1813.07,741479396,3.84,9.67,8.05,6.5,75,4068,2646,0.93,85.59,103.31,1915.33,263.45,878,5.98,26,59.18,14246,2000
2000-04-04,S&P 500,3093.32,3055.1200000000003,3142.1200000000003,3038.5000000000005,83889149,3.25,4.61,13.24,8.06,97,28001,1440,1.37,138.21,31.71,940.38,266.8,5625,0.81,31,98.57,9440,2000
2000-04-05,S&P 500,2148.55,2103.07,2175.17,2079.54,773567918,-3.83,8.25,12.12,4.76,65,27298,3945,0.93,124.07,119.08,2139.18,159.33,5933,9.13,20,9.05,6551,2000
2000-04-06,S&P 500,4171.42,4165.21,4216.6900000000005,4149.4800000000005,659985095,9.15,7.0,7.12,1.65,80,28514,1618,1.15,99.54,82.78,2202.65,233.05,7625,1.18,43,11.48,13609,2000
2000-04-07,Dow Jones,3310.37,3344.77,3348.92,3275.36,66932792,-3.51,9.67,12.99,5.81,115,25090,2059,0.95,133.0,66.92,1293.28,304.81,9706,5.17,19,98.81,10034,2000
2000-04-08,S&P 500,3538.33,3514.57,3547.88,3473.26,578281956,7.82,8.11,2.61,3.02,81,11814,810,1.06,89.5,99.43,1075.76,342.41,4884,8.57,26,40.62,7782,2000
2000-04-09,S&P 500,4191.66,4183.83,4213.7,4147.26,346079543,-5.0,0.77,12.17,4.15,59,8798,4670,1.4,125.17,33.26,1967.02,128.66,8135,4.72,35,74.4,11252,2000
2000-04-10,Dow Jones,2583.88,2537.87,2613.12,2488.4,742520684,8.23,7.13,4.69,0.67,74,20677,673,1.42,149.26,73.82,1009.7,233.52,4836,1.66,40,78.37,11841,2000
2000-04-11,Dow Jones,4660.36,4655.27,4701.17,4641.639999999999,210065568,-4.7,5.35,5.72,4.14,94,29640,2943,1.5,90.5,125.43,2258.67,235.77,8100,3.73,31,31.52,13282,2000
2000-04-12,Dow Jones,3132.12,3139.88,3189.29,3088.37,381928032,6.37,0.16,8.41,8.18,73,701,607,1.46,89.94,54.07,1616.22,306.03,6690,9.88,38,21.51,4261,2000
2000-04-13,S&P 500,1631.82,1638.91,1658.35,1593.49,858221766,0.43,2.51,7.85,5.66,52,8456,2322,1.27,112.75,138.83,2346.68,384.01,6894,10.0,28,27.68,12595,2000
2000-04-14,Dow Jones,3783.6,3766.84,3785.97,3748.73,960919870,6.07,9.22,8.77,0.59,111,7885,4887,1.1,124.99,98.47,1891.69,354.09,4832,7.11,45,76.46,8569,2000
2000-04-15,Dow Jones,4173.05,4154.6,4213.110000000001,4117.89,88232789,1.03,9.26,9.08,4.96,116,6507,1394,0.84,81.86,90.3,1284.66,328.35,621,8.88,22,84.06,13012,2000
2000-04-16,S&P 500,2267.05,2227.71,2297.27,2222.51,418511556,-3.94,7.99,6.31,3.27,104,2294,1797,1.23,114.98,71.94,1595.66,216.57,5797,0.44,34,69.98,238,2000
2000-04-17,Dow Jones,4428.72,4415.400000000001,4438.650000000001,4375.93,267908397,6.51,9.82,4.28,5.04,59,1908,887,0.95,85.82,116.46,1699.89,435.62,2947,2.76,14,44.18,775,2000
2000-04-18,S&P 500,4624.57,4584.52,4649.31,4557.9,925614420,-3.93,8.07,11.99,4.34,104,1416,3889,1.4,96.89,93.38,2185.77,414.12,4211,3.69,42,26.33,7576,2000
2000-04-19,NASDAQ,2107.62,2134.28,2171.4,2093.01,312539837,8.83,0.1,7.2,9.35,71,21315,4767,1.18,129.87,123.55,2265.15,173.45,6494,0.12,9,42.58,10671,2000
2000-04-20,Dow Jones,4934.09,4980.72,5019.240000000001,4901.3,674155416,-4.24,2.88,8.58,0.89,63,8278,2333,1.31,131.72,63.12,1961.12,362.05,8522,3.77,14,91.46,13579,2000
2000-04-21,NASDAQ,1562.85,1609.86,1634.84,1530.77,671068752,2.19,0.31,10.38,6.99,57,10376,686,1.27,131.08,111.26,1300.14,462.66,7520,0.93,24,86.33,10886,2000
2000-04-22,S&P 500,1808.06,1844.57,1859.83,1797.59,631074167,5.85,0.94,13.83,8.58,64,14940,3265,1.04,84.56,142.65,1698.57,274.24,8219,5.17,16,32.41,9358,2000
2000-04-23,Dow Jones,1736.9,1746.98,1795.67,1735.38,391519430,0.9,2.19,11.2,9.61,64,6846,3750,1.33,135.07,56.39,1022.06,469.91,6849,0.04,30,32.86,1936,2000
2000-04-24,S&P 500,4575.96,4596.05,4629.22,4554.28,89001141,-1.74,5.04,2.59,2.19,101,16369,4709,1.39,110.25,147.53,1191.19,108.79,618,2.7,10,78.02,11228,2000
2000-04-25,NASDAQ,3617.17,3595.69,3637.58,3567.21,629016505,6.39,8.48,12.9,5.55,119,3666,3349,1.32,113.27,73.37,1315.2,306.5,8775,8.66,19,42.71,8972,2000
2000-04-26,S&P 500,1608.42,1621.5,1635.52,1564.59,928499057,6.76,8.62,14.86,0.91,103,7844,2801,1.34,109.38,25.01,923.69,202.51,3951,2.13,30,57.32,11171,2000
2000-04-27,Dow Jones,2761.29,2756.85,2797.85,2710.44,608066171,8.84,6.16,8.14,5.24,91,16948,4136,1.05,139.99,66.5,2304.48,204.86,6955,0.65,15,42.29,4466,2000
2000-04-28,Dow Jones,3461.19,3459.39,3473.3,3432.95,62531772,0.64,9.28,14.6,1.69,68,21532,655,1.46,127.6,39.45,1008.5,451.02,5104,2.5,35,24.31,2447,2000
